sentinal	temp	gx	gy	gz	ax	ay	az	footer
-15231	1431	-3034	2286	-2592	208	16720	-16040	-894	2409	2275	-5264	-3936	15136	-16509	3820	-2287	-1567	-256	-1248	-16192	-24400	1589	-4658	5841	-1840	-4160	15984
-15228	1198	-2754	2263	-2656	288	16464	-16059	-647	2391	2037	-5216	-4048	15056	-16532	-2807	1972	2289	-224	-1328	-16128	-16279	-3167	2325	-2117	-1888	-4192	15856
-15240	630	-2367	2264	-2528	224	16528	-16055	-271	1904	1820	-5248	-3952	15168	-16516	-2497	2011	1964	-256	-1232	-16208	-16278	-2555	2300	-1664	-1760	-4224	15952
-15216	-157	94	2263	-2512	176	16560	-16074	177	289	1682	-5168	-4000	15280	-16544	-1443	1675	1718	-272	-1248	-16176	-16283	-1270	1887	-1336	-1792	-4192	15824
-15227	-136	89	2271	-2496	320	16640	-16042	167	319	1550	-5136	-3984	15184	-16538	-171	130	1499	-224	-1344	-16144	-16282	349	195	-1077	-1840	-4160	16016
-15232	-136	87	2268	-2528	192	16640	-16061	166	317	1477	-5216	-3968	15152	-16530	-225	141	1332	-288	-1392	-16032	-16275	320	213	-879	-1888	-4128	15888
-15229	-128	90	2255	-2592	272	16560	-16061	165	305	1405	-5200	-4032	15120	-16529	-201	141	1195	-272	-1264	-16208	-16297	322	212	-741	-1808	-4176	15936
-15218	-134	98	2271	-2544	144	16640	-16088	168	321	1338	-5264	-4048	15040	-16533	-216	132	1096	-272	-1248	-16160	-16299	324	208	-620	-1792	-4192	15792
-15229	-132	93	499	-2576	224	16528	-16090	167	316	537	-5168	-3936	15184	-16518	-207	135	1013	-288	-1344	-16240	-16283	328	216	-520	-1824	-4176	15888
-15237	-138	91	-796	-2528	256	16640	-16056	167	315	638	-5136	-3968	15024	-16534	-210	134	651	-208	-1344	-16176	-16287	317	215	-550	-1872	-4144	15920
-15226	-136	91	1286	-2576	240	16640	-16078	173	322	2413	-5168	-4064	15312	-16533	-205	142	1146	-288	-1296	-16112	-16297	323	207	-2432	-1888	-4128	16016
-15222	-132	87	1121	-2592	224	16560	-16067	168	326	2218	-5200	-3984	15152	-16520	-213	137	2467	-272	-1296	-16208	-16316	323	210	-3486	-1808	-4080	15872
-15234	-131	93	325	-2640	224	16656	-16073	168	320	540	-5200	-4016	15120	-16540	-215	138	2468	-160	-1312	-16080	-16299	318	211	-3259	-1936	-4208	15904
-15226	-135	87	119	-2528	224	16656	-16053	168	320	107	-5280	-4032	15184	-16547	-209	142	1187	-208	-1296	-16208	-16306	319	203	-1976	-1840	-4192	15872
-15223	-135	91	116	-2544	288	16480	-16073	168	322	106	-5184	-3952	15232	-16554	-208	139	48	-208	-1264	-16096	-16293	323	212	151	-1872	-4192	15984
-15217	-127	85	122	-2576	208	16672	-16062	166	310	109	-5200	-4048	15152	-16568	-209	146	70	-288	-1344	-16048	-16287	317	223	117	-1888	-4192	15888
-15217	-139	80	118	-2624	208	16640	-16066	176	317	112	-5184	-3968	15040	-16527	-210	136	59	-288	-1296	-16096	-16284	320	211	118	-1872	-4224	15792
-15217	-136	98	119	-2576	160	16656	-16079	167	317	109	-5216	-3936	15120	-16524	-212	132	64	-112	-1312	-16208	-16286	320	207	116	-1840	-4160	15888
-15207	-129	91	118	-2592	272	16672	-16077	168	317	106	-5248	-3936	15088	-16557	-212	134	66	-128	-1264	-16208	-16294	318	207	123	-1840	-4304	15984
-15216	-138	99	124	-2592	256	16560	-16047	165	320	115	-5264	-3936	15184	-16545	-209	140	72	-272	-1360	-16144	-16292	329	212	118	-1840	-4176	15824
-15223	-130	89	127	-2592	256	16640	-16059	173	321	117	-5152	-3952	15040	-16548	-214	134	70	-240	-1248	-16288	-16290	324	215	122	-1872	-4128	15936
-15221	-135	88	114	-2608	272	16720	-16066	169	308	112	-5200	-3952	15152	-16557	-206	132	70	-208	-1344	-16208	-16301	318	210	113	-1840	-4160	16016
-15226	-134	94	128	-2528	256	16576	-16065	168	321	109	-5248	-3968	15088	-16529	-210	132	66	-208	-1312	-16240	-16287	309	216	121	-1840	-4192	15824
-15218	-131	92	122	-2576	272	16592	-16060	173	327	110	-5216	-3936	15088	-16536	-217	131	71	-304	-1280	-16208	-16294	315	212	118	-1824	-4080	15952
-15215	-132	93	126	-2576	208	16720	-16060	174	312	115	-5184	-4048	15120	-16551	-213	141	65	-208	-1264	-16224	-16294	314	209	119	-2000	-4224	15920
-15218	-137	89	115	-2608	256	16576	-16094	165	313	124	-5136	-3920	15216	-16539	-216	140	70	-272	-1248	-16128	-16285	324	212	118	-1888	-4272	15808
-15228	-131	90	132	-2544	304	16736	-16069	167	307	111	-5168	-4048	15184	-16544	-220	141	63	-272	-1344	-16288	-16290	327	214	116	-1824	-4112	15840
-15247	-121	93	118	-2496	208	16592	-16062	164	324	113	-5136	-3968	15200	-16539	-213	136	69	-224	-1216	-16080	-16287	325	218	120	-1904	-4128	15952
-15217	-131	91	118	-2576	320	16640	-16066	170	320	108	-5136	-3920	15024	-16557	-203	147	68	-208	-1232	-16224	-16300	324	214	118	-1776	-4160	15808
-15234	-135	91	122	-2528	256	16688	-16048	167	319	113	-5248	-3936	15152	-16552	-209	137	77	-192	-1296	-16160	-16292	323	209	112	-1792	-4144	16000
-15224	-131	87	125	-2640	176	16576	-16056	179	318	116	-5184	-3984	15024	-16545	-212	138	67	-288	-1280	-16240	-16289	311	216	114	-1824	-4192	15936
-15230	-129	92	115	-2624	96	16640	-16069	165	312	119	-5136	-4032	15024	-16548	-213	139	61	-352	-1264	-16112	-16309	311	214	118	-1936	-4144	16064
-15229	-128	94	119	-2576	256	16640	-16076	175	310	112	-5216	-4048	15120	-16531	-210	136	76	-304	-1360	-16240	-16275	318	216	122	-1840	-4144	15952
-15226	-127	88	107	-2592	144	16608	-16050	166	310	123	-5120	-4032	15136	-16544	-216	143	65	-144	-1296	-16224	-16293	319	211	124	-1888	-4112	15808
-15230	-134	89	116	-2608	336	16640	-16067	167	313	119	-5104	-3936	15104	-16547	-202	140	66	-208	-1200	-16192	-16265	325	209	119	-1904	-4176	15904
-15244	-136	99	121	-2592	240	16528	-16071	167	314	113	-5152	-3920	15056	-16531	-203	138	67	-224	-1248	-16240	-16288	320	212	119	-1808	-4192	15984
-15221	-135	94	110	-2592	240	16640	-16059	169	313	114	-5152	-4000	15104	-16517	-211	139	67	-240	-1296	-16016	-16288	325	213	116	-1824	-4256	15984
-15206	-129	93	123	-2464	208	16576	-16069	163	312	114	-5168	-4000	15168	-16512	-206	130	70	-336	-1328	-16128	-16276	330	215	109	-1744	-4192	15904
-15232	-128	87	123	-2544	240	16704	-16071	173	306	114	-5232	-3936	14944	-16525	-209	141	62	-176	-1280	-16160	-16296	318	210	116	-1744	-4240	15744
-15235	-130	80	120	-2592	272	16656	-16068	168	306	103	-5200	-3984	15168	-16527	-205	130	67	-240	-1248	-16304	-16283	328	206	114	-1808	-4128	15936
-15245	-130	98	120	-2576	256	16608	-16055	169	314	117	-5136	-4032	15120	-16547	-208	148	64	-288	-1248	-16256	-16268	321	206	114	-1920	-4240	15824
-15242	-129	92	126	-2624	176	16704	-16067	163	307	121	-5200	-4032	14976	-16547	-210	140	56	-208	-1376	-16128	-16294	323	215	116	-1872	-4160	15808
-15233	-133	91	122	-2576	272	16528	-16075	161	314	116	-5168	-3984	15136	-16542	-205	137	65	-224	-1312	-16128	-16305	316	209	122	-1792	-4160	15952
-15203	-129	89	115	-2608	208	16576	-16074	171	306	111	-5104	-3936	15120	-16545	-201	138	65	-240	-1328	-16096	-16294	328	208	114	-1744	-4160	15904
-15220	-133	89	121	-2512	256	16624	-16064	165	314	117	-5200	-3968	15072	-16534	-208	141	62	-256	-1264	-16112	-16299	321	209	118	-1808	-4128	15952
-15240	-129	86	121	-2544	208	16704	-16065	168	311	111	-5248	-3904	15056	-16531	-205	133	72	-272	-1344	-16128	-16289	322	215	115	-1744	-4272	15904
-15251	-126	89	121	-2576	224	16512	-16072	165	320	109	-5216	-3888	15120	-16524	-213	139	64	-176	-1248	-16240	-16272	323	205	123	-1840	-4160	15856
