sentinal	temp	gx	gy	gz	ax	ay	az	footer
-15698	-135	-148	453	7392	-6528	13088	-15698	-135	-148	453	7392	-6528	13088	-15698	-135	-148	453	7392	-6528	13088	-15698	-135	-148	453	7392	-6528	13088	-15698	-135	-148	453	7392	-6528	13088	-15698	-135	-148	453	7392	-6528	13088
6	176	-51	8416	1680	16688	0	6	176	-51	8416	1680	16688	0	3594	0	3594	0	3594	0	0	3594	0	3594	0	3594	0	0	3594	0	3594	0	3594	0	0	0	0	0	0	0	0	0
-15650	281	191	163	-1616	-12640	10544	-15650	281	191	163	-1616	-12640	10544	-15650	281	191	163	-1616	-12640	10544	-15650	281	191	163	-1616	-12640	10544	-15650	281	191	163	-1616	-12640	10544	-15650	281	191	163	-1616	-12640	10544
-15524	7	171	-52	8400	1648	16672	-15524	7	171	-52	8400	1648	16672	-15524	7	171	-52	8400	1648	16672	-15524	7	171	-52	8400	1648	16672	-15524	7	171	-52	8400	1648	16672	-15524	7	171	-52	8400	1648	16672
-15519	4	175	-53	8400	1536	16624	-15519	4	175	-53	8400	1536	16624	-15519	4	175	-53	8400	1536	16624	-15519	4	175	-53	8400	1536	16624	-15519	4	175	-53	8400	1536	16624	-15519	4	175	-53	8400	1536	16624
-15525	4	174	-53	8416	1440	16496	-15525	4	174	-53	8416	1440	16496	-15525	4	174	-53	8416	1440	16496	-15525	4	174	-53	8416	1440	16496	-15525	4	174	-53	8416	1440	16496	-15525	4	174	-53	8416	1440	16496
-15528	7	176	-55	8432	1600	16656	-15528	7	176	-55	8432	1600	16656	-15528	7	176	-55	8432	1600	16656	-15528	7	176	-55	8432	1600	16656	-15528	7	176	-55	8432	1600	16656	-15528	7	176	-55	8432	1600	16656
-15529	2	174	-55	8432	1536	16624	-15529	2	174	-55	8432	1536	16624	-15529	2	174	-55	8432	1536	16624	-15529	2	174	-55	8432	1536	16624	-15529	2	174	-55	8432	1536	16624	-15529	2	174	-55	8432	1536	16624
-15533	5	172	-49	8608	1648	16656	-15533	5	172	-49	8608	1648	16656	-15533	5	172	-49	8608	1648	16656	-15533	5	172	-49	8608	1648	16656	-15533	5	172	-49	8608	1648	16656	-15533	5	172	-49	8608	1648	16656
-15515	-204	136	71	3744	-15840	2128	-15525	3	175	-52	8304	1616	16656	-15525	3	175	-52	8304	1616	16656	-15525	3	175	-52	8304	1616	16656	-15525	3	175	-52	8304	1616	16656	-15525	3	175	-52	8304	1616	16656
-15531	4	178	-56	8416	1616	16640	-15531	4	178	-56	8416	1616	16640	-15531	4	178	-56	8416	1616	16640	-15531	4	178	-56	8416	1616	16640	-15531	4	178	-56	8416	1616	16640	-15531	4	178	-56	8416	1616	16640
-15505	-203	133	75	3760	-15840	2048	-15505	-203	133	75	3760	-15840	2048	-15505	-203	133	75	3760	-15840	2048	-15505	-203	133	75	3760	-15840	2048	-15505	-203	133	75	3760	-15840	2048	-15505	-203	133	75	3760	-15840	2048
6	175	-49	8560	1616	16640	0	6	175	-49	8560	1616	16640	0	3716	0	3716	0	3716	0	0	3716	0	3716	0	3716	0	0	3716	0	3716	0	3716	0	0	0	0	0	0	0	0	0
-15646	278	191	167	-1616	-12640	10384	-15646	278	191	167	-1616	-12640	10384	-15646	278	191	167	-1616	-12640	10384	-15646	278	191	167	-1616	-12640	10384	-15646	278	191	167	-1616	-12640	10384	-15646	278	191	167	-1616	-12640	10384
-15530	4	177	-53	8416	1520	16656	-15530	4	177	-53	8416	1520	16656	-15530	4	177	-53	8416	1520	16656	-15530	4	177	-53	8416	1520	16656	-15530	4	177	-53	8416	1520	16656	-15530	4	177	-53	8416	1520	16656
-15526	3	175	-54	8448	1616	16688	-15526	3	175	-54	8448	1616	16688	-15526	3	175	-54	8448	1616	16688	-15526	3	175	-54	8448	1616	16688	-15526	3	175	-54	8448	1616	16688	-15526	3	175	-54	8448	1616	16688
-15497	-206	138	68	3760	-15776	2144	-15533	1	175	-54	8512	1568	16704	-15533	1	175	-54	8512	1568	16704	-15533	1	175	-54	8512	1568	16704	-15533	1	175	-54	8512	1568	16704	-15533	1	175	-54	8512	1568	16704
-15533	3	172	-54	8448	1600	16640	-15533	3	172	-54	8448	1600	16640	-15533	3	172	-54	8448	1600	16640	-15533	3	172	-54	8448	1600	16640	-15533	3	172	-54	8448	1600	16640	-15533	3	172	-54	8448	1600	16640
-15527	3	172	-59	8480	1632	16672	-15527	3	172	-59	8480	1632	16672	-15527	3	172	-59	8480	1632	16672	-15527	3	172	-59	8480	1632	16672	-15527	3	172	-59	8480	1632	16672	-15527	3	172	-59	8480	1632	16672
-15530	0	176	-54	8416	1520	16656	-15530	0	176	-54	8416	1520	16656	-15530	0	176	-54	8416	1520	16656	-15530	0	176	-54	8416	1520	16656	-15530	0	176	-54	8416	1520	16656	-15530	0	176	-54	8416	1520	16656
-15530	7	177	-53	8400	1648	16704	-15530	7	177	-53	8400	1648	16704	-15530	7	177	-53	8400	1648	16704	-15530	7	177	-53	8400	1648	16704	-15530	7	177	-53	8400	1648	16704	-15530	7	177	-53	8400	1648	16704
-15521	-206	134	70	3616	-15840	2128	-15521	-206	134	70	3616	-15840	2128	-15530	2	176	-54	8512	1616	16736	-15530	2	176	-54	8512	1616	16736	-15530	2	176	-54	8512	1616	16736	-15530	2	176	-54	8512	1616	16736
-15500	-206	135	74	3744	-15760	1984	-15500	-206	135	74	3744	-15760	1984	-15500	-206	135	74	3744	-15760	1984	-15500	-206	135	74	3744	-15760	1984	-15500	-206	135	74	3744	-15760	1984	-15500	-206	135	74	3744	-15760	1984
6	173	-55	8448	1568	16592	0	6	173	-55	8448	1568	16592	0	3590	0	3590	0	3590	0	0	3590	0	3590	0	3590	0	0	3590	0	3590	0	3590	0	0	0	0	0	0	0	0	0
-15643	278	188	164	-1584	-12608	10480	-15643	278	188	164	-1584	-12608	10480	-15643	278	188	164	-1584	-12608	10480	-15643	278	188	164	-1584	-12608	10480	-15643	278	188	164	-1584	-12608	10480	-15643	278	188	164	-1584	-12608	10480
-15525	6	178	-57	8480	1600	16608	-15525	6	178	-57	8480	1600	16608	-15525	6	178	-57	8480	1600	16608	-15525	6	178	-57	8480	1600	16608	-15525	6	178	-57	8480	1600	16608	-15525	6	178	-57	8480	1600	16608
-15529	2	173	-52	8512	1552	16832	-15529	2	173	-52	8512	1552	16832	-15529	2	173	-52	8512	1552	16832	-15529	2	173	-52	8512	1552	16832	-15529	2	173	-52	8512	1552	16832	-15529	2	173	-52	8512	1552	16832
-15517	4	177	-53	8400	1536	16688	-15517	4	177	-53	8400	1536	16688	-15517	4	177	-53	8400	1536	16688	-15517	4	177	-53	8400	1536	16688	-15517	4	177	-53	8400	1536	16688	-15517	4	177	-53	8400	1536	16688
